School,State,Control,Total Applications,Total Accepted,Acceptance Rate,Total Cost,Total Population,Male Population,Female Population,Male Percentage,Female Percentage, M/F 
University of Nevada-Reno,NV,Public,"9,421","8,306",88.16%,"$45,389","21,034","9,588","11,446",45.58%,54.42%,46/54
University of New England,ME,Private not-for-profit,"4,765","4,288",89.99%,"$61,200","6,642","1,924","4,718",28.97%,71.03%,29/71
University of New Hampshire-Main Campus,NH,Public,"20,149","17,473",86.72%,"$54,260","14,001","6,016","7,985",42.97%,57.03%,43/57
University of New Haven,CT,Private not-for-profit,"10,272","9,669",94.13%,"$66,382","7,513","3,488","4,025",46.43%,53.57%,46/54
University of New Mexico-Main Campus,NM,Public,"11,346","11,036",97.27%,"$43,023","22,139","9,372","12,767",42.33%,57.67%,42/58
University of New Orleans,LA,Public,"5,633","4,539",80.58%,"$32,952","7,953","3,682","4,271",46.30%,53.70%,46/54
University of North Alabama,AL,Public,"3,410","3,068",89.97%,"$33,450","8,526","3,049","5,477",35.76%,64.24%,36/64
University of North Carolina at Asheville,NC,Public,"4,550","3,714",81.63%,"$38,948","3,233","1,375","1,858",42.53%,57.47%,43/57
University of North Carolina at Chapel Hill,NC,Public,"50,729","10,348",20.40%,"$53,810","31,641","12,751","18,890",40.30%,59.70%,40/60
University of North Carolina at Charlotte,NC,Public,"20,366","16,180",79.45%,"$37,784","30,448","15,146","15,302",49.74%,50.26%,50/50
University of North Carolina at Greensboro,NC,Public,"10,696","9,716",90.84%,"$35,709","19,038","6,198","12,840",32.56%,67.44%,33/67
University of North Carolina at Pembroke,NC,Public,"5,578","5,123",91.84%,"$22,533","8,318","2,934","5,384",35.27%,64.73%,35/65
University of North Carolina Wilmington,NC,Public,"15,792","10,736",67.98%,"$41,086","18,030","6,070","11,960",33.67%,66.33%,34/66
University of North Dakota,ND,Public,"5,962","5,308",89.03%,"$29,986","13,772","6,979","6,793",50.68%,49.32%,51/49
University of North Florida,FL,Public,"16,004","12,401",77.49%,"$36,900","16,594","6,734","9,860",40.58%,59.42%,41/59
University of North Georgia,GA,Public,"10,380","8,424",81.16%,"$32,431","18,972","8,005","10,967",42.19%,57.81%,42/58
University of North Texas,TX,Public,"24,858","20,240",81.42%,"$36,090","42,441","19,231","23,210",45.31%,54.69%,45/55
University of North Texas at Dallas,TX,Public,"2,618","2,354",89.92%,"$36,394","4,120","1,335","2,785",32.40%,67.60%,32/68
University of Northern Colorado,CO,Public,"10,152","9,252",91.13%,"$42,184","10,348","3,156","7,192",30.50%,69.50%,30/70
University of Northern Iowa,IA,Public,"4,772","4,094",85.79%,"$33,142","9,217","3,424","5,793",37.15%,62.85%,37/63
University of Northwestern-St Paul,MN,Private not-for-profit,"1,415","1,165",82.33%,"$49,044","3,398","1,345","2,053",39.58%,60.42%,40/60
University of Notre Dame,IN,Private not-for-profit,"23,642","3,562",15.07%,"$80,211","13,139","6,979","6,160",53.12%,46.88%,53/47
University of Oklahoma-Norman Campus,OK,Public,"17,318","14,760",85.23%,"$49,241","28,042","13,425","14,617",47.87%,52.13%,48/52
University of Oregon,OR,Public,"31,558","29,483",93.42%,"$60,285","22,257","9,928","12,329",44.61%,55.39%,45/55
University of Pennsylvania,PA,Private not-for-profit,"56,332","3,304",5.87%,"$85,738","28,038","12,385","15,653",44.17%,55.83%,44/56
University of Pittsburgh-Johnstown,PA,Public,"1,452","1,335",91.94%,"$43,058","2,121","1,196",925,56.39%,43.61%,56/44
University of Pittsburgh-Pittsburgh Campus,PA,Public,"34,656","23,109",66.68%,"$53,268","33,230","14,170","19,060",42.64%,57.36%,43/57
University of Portland,OR,Private not-for-profit,"12,044","9,778",81.19%,"$72,816","4,033","1,520","2,513",37.69%,62.31%,38/62
University of Puget Sound,WA,Private not-for-profit,"5,025","4,437",88.30%,"$75,570","2,173",860,"1,313",39.58%,60.42%,40/60
University of Redlands,CA,Private not-for-profit,"3,746","3,108",82.97%,"$75,856","4,059","1,569","2,490",38.65%,61.35%,39/61
University of Rhode Island,RI,Public,"25,105","19,196",76.46%,"$51,632","17,511","7,426","10,085",42.41%,57.59%,42/58
University of Richmond,VA,Private not-for-profit,"13,955","4,015",28.77%,"$77,330","3,890","1,762","2,128",45.30%,54.70%,45/55
University of Rochester,NY,Private not-for-profit,"19,543","7,924",40.55%,"$82,600","12,039","5,607","6,432",46.57%,53.43%,47/53
University of Saint Francis-Fort Wayne,IN,Private not-for-profit,"1,323","1,315",99.40%,"$49,470","2,196",636,"1,560",28.96%,71.04%,29/71
University of Saint Joseph,CT,Private not-for-profit,"1,338","1,047",78.25%,"$60,356","2,132",429,"1,703",20.12%,79.88%,20/80
University of San Diego,CA,Private not-for-profit,"14,326","7,550",52.70%,"$75,767","9,041","3,918","5,123",43.34%,56.66%,43/57
University of San Francisco,CA,Private not-for-profit,"22,372","15,867",70.92%,"$77,854","10,034","3,503","6,531",34.91%,65.09%,35/65
University of Scranton,PA,Private not-for-profit,"9,111","7,315",80.29%,"$69,974","4,692","1,919","2,773",40.90%,59.10%,41/59
University of Sioux Falls,SD,Private not-for-profit,"2,407","1,845",76.65%,"$33,330","1,625",599,"1,026",36.86%,63.14%,37/63
University of South Alabama,AL,Public,"11,817","8,364",70.78%,"$32,321","13,992","4,462","9,530",31.89%,68.11%,32/68
University of South Carolina Aiken,SC,Public,"1,808","1,510",83.52%,"$33,765","3,869","1,342","2,527",34.69%,65.31%,35/65
University of South Carolina Beaufort,SC,Public,"2,193","1,836",83.72%,"$35,819","2,037",629,"1,408",30.88%,69.12%,31/69
University of South Carolina-Columbia,SC,Public,"42,045","25,884",61.56%,"$51,179","35,471","15,280","20,191",43.08%,56.92%,43/57
University of South Carolina-Upstate,SC,Public,"2,893","2,190",75.70%,"$37,302","5,438","1,691","3,747",31.10%,68.90%,31/69
University of South Dakota,SD,Public,"4,272","3,717",87.01%,"$27,313","9,464","3,429","6,035",36.23%,63.77%,36/64
University of South Florida,FL,Public,"50,352","24,863",49.38%,"$35,566","49,708","20,957","28,751",42.16%,57.84%,42/58
University of Southern California,CA,Private not-for-profit,"71,031","8,884",12.51%,"$85,064","49,318","22,707","26,611",46.04%,53.96%,46/54
University of Southern Indiana,IN,Public,"3,867","3,728",96.41%,"$35,813","9,756","3,520","6,236",36.08%,63.92%,36/64
University of Southern Maine,ME,Public,"5,397","4,695",86.99%,"$39,520","7,996","2,936","5,060",36.72%,63.28%,37/63
University of Southern Mississippi,MS,Public,"9,314","8,922",95.79%,"$28,000","14,146","4,939","9,207",34.91%,65.09%,35/65
University of St Francis,IL,Private not-for-profit,"1,574","1,074",68.23%,"$51,230","3,426",852,"2,574",24.87%,75.13%,25/75
University of St Thomas,MN,Private not-for-profit,"8,654","6,536",75.53%,"$47,240","9,336","4,608","4,728",49.36%,50.64%,49/51
University of St Thomas,TX,Private not-for-profit,"1,140","1,122",98.42%,"$67,153","3,877","1,528","2,349",39.41%,60.59%,39/61
University of the Cumberlands,KY,Private not-for-profit,"2,177","1,851",85.03%,"$24,884","19,272","9,782","9,490",50.76%,49.24%,51/49
University of the Incarnate Word,TX,Private not-for-profit,"8,999","8,479",94.22%,"$51,022","7,508","2,885","4,623",38.43%,61.57%,38/62
University of the Pacific,CA,Private not-for-profit,"10,901","8,645",79.30%,"$72,305","6,066","2,634","3,432",43.42%,56.58%,43/57
University of Toledo,OH,Public,"9,893","9,549",96.52%,"$40,862","16,979","7,858","9,121",46.28%,53.72%,46/54
University of Tulsa,OK,Private not-for-profit,"5,958","4,483",75.24%,"$65,607","3,832","1,954","1,878",50.99%,49.01%,51/49
University of Utah,UT,Public,"18,302","17,381",94.97%,"$47,202","34,464","17,701","16,763",51.36%,48.64%,51/49
University of Vermont,VT,Public,"25,559","16,233",63.51%,"$60,969","13,826","5,233","8,593",37.85%,62.15%,38/62
University of Virginia-Main Campus,VA,Public,"47,971","9,951",20.74%,"$73,704","26,005","11,650","14,355",44.80%,55.20%,45/55
University of Virginia's College at Wise,VA,Public,"1,016",847,83.37%,"$47,521","1,814",700,"1,114",38.59%,61.41%,39/61
University of Washington-Bothell Campus,WA,Public,"4,423","3,672",83.02%,"$60,960","6,052","3,181","2,871",52.56%,47.44%,53/47
University of Washington-Seattle Campus,WA,Public,"48,840","26,121",53.48%,"$60,588","52,434","22,626","29,808",43.15%,56.85%,43/57
University of Washington-Tacoma Campus,WA,Public,"2,233","1,851",82.89%,"$59,538","5,027","2,383","2,644",47.40%,52.60%,47/53
University of West Alabama,AL,Public,"1,539","1,144",74.33%,"$32,726","5,594","1,365","4,229",24.40%,75.60%,24/76
University of West Georgia,GA,Public,"6,610","4,607",69.70%,"$37,178","12,687","4,068","8,619",32.06%,67.94%,32/68
University of Wisconsin-Eau Claire,WI,Public,"9,420","7,297",77.46%,"$30,407","10,569","4,127","6,442",39.05%,60.95%,39/61
University of Wisconsin-Green Bay,WI,Public,"5,486","5,016",91.43%,"$28,455","9,780","3,181","6,599",32.53%,67.47%,33/67
University of Wisconsin-La Crosse,WI,Public,"7,067","5,219",73.85%,"$27,109","10,337","4,304","6,033",41.64%,58.36%,42/58
University of Wisconsin-Madison,WI,Public,"53,781","32,459",60.35%,"$56,625","47,016","22,205","24,811",47.23%,52.77%,47/53
University of Wisconsin-Milwaukee,WI,Public,"14,859","13,218",88.96%,"$36,615","23,829","10,428","13,401",43.76%,56.24%,44/56
University of Wisconsin-Oshkosh,WI,Public,"8,524","7,662",89.89%,"$28,062","14,142","5,598","8,544",39.58%,60.42%,40/60
University of Wisconsin-Parkside,WI,Public,"2,285","1,713",74.97%,"$28,450","4,132","1,828","2,304",44.24%,55.76%,44/56
University of Wisconsin-Platteville,WI,Public,"5,156","4,515",87.57%,"$29,731","6,773","4,238","2,535",62.57%,37.43%,63/37
University of Wisconsin-River Falls,WI,Public,"3,933","3,392",86.24%,"$28,062","5,394","1,811","3,583",33.57%,66.43%,34/66
University of Wisconsin-Stevens Point,WI,Public,"8,100","7,303",90.16%,"$28,374","8,129","3,411","4,718",41.96%,58.04%,42/58
University of Wisconsin-Stout,WI,Public,"4,890","4,469",91.39%,"$30,230","7,695","4,139","3,556",53.79%,46.21%,54/46
University of Wisconsin-Superior,WI,Public,"1,805","1,376",76.23%,"$27,363","2,613",875,"1,738",33.49%,66.51%,33/67
University of Wisconsin-Whitewater,WI,Public,"8,930","7,409",82.97%,"$28,699","11,446","5,754","5,692",50.27%,49.73%,50/50
University of Wyoming,WY,Public,"5,645","5,463",96.78%,"$37,965","11,479","5,329","6,150",46.42%,53.58%,46/54
Upper Iowa University,IA,Private not-for-profit,"1,240",805,64.92%,"$48,422","3,031","1,183","1,848",39.03%,60.97%,39/61
Utah State University,UT,Public,"15,567","14,420",92.63%,"$37,958","27,426","12,136","15,290",44.25%,55.75%,44/56
Utica University,NY,Private not-for-profit,"3,277","2,931",89.44%,"$39,718","4,242","1,584","2,658",37.34%,62.66%,37/63
Valdosta State University,GA,Public,"8,650","6,606",76.37%,"$32,886","11,557","3,585","7,972",31.02%,68.98%,31/69
Valley City State University,ND,Public,442,360,81.45%,"$25,909","1,686",690,996,40.93%,59.07%,41/59
Valparaiso University,IN,Private not-for-profit,"6,095","5,679",93.17%,"$60,796","2,924","1,238","1,686",42.34%,57.66%,42/58
Vanderbilt University,TN,Private not-for-profit,"47,152","3,368",7.14%,"$84,412","13,796","6,115","7,681",44.32%,55.68%,44/56
Vanguard University of Southern California,CA,Private not-for-profit,"2,917","2,013",69.01%,"$53,150","2,268",714,"1,554",31.48%,68.52%,31/69
Vassar College,NY,Private not-for-profit,"10,884","2,193",20.15%,"$83,610","2,516",966,"1,550",38.39%,61.61%,38/62
Villanova University,PA,Private not-for-profit,"24,410","6,162",25.24%,"$81,105","10,870","4,997","5,873",45.97%,54.03%,46/54
Virginia Commonwealth University,VA,Public,"17,579","16,308",92.77%,"$57,025","28,594","10,330","18,264",36.13%,63.87%,36/64
Virginia Military Institute,VA,Public,"1,549",990,63.91%,"$63,546","1,652","1,424",228,86.20%,13.80%,86/14
Virginia Polytechnic Institute and State University,VA,Public,"42,054","23,746",56.47%,"$52,526","37,279","21,299","15,980",57.13%,42.87%,57/43
Virginia State University,VA,Public,"9,978","9,587",96.08%,"$35,928","4,300","1,684","2,616",39.16%,60.84%,39/61
Virginia Union University,VA,Private not-for-profit,"4,006","3,757",93.78%,"$30,591","1,730",881,849,50.92%,49.08%,51/49
Viterbo University,WI,Private not-for-profit,"1,282",993,77.46%,"$44,910","2,520",618,"1,902",24.52%,75.48%,25/75
Wagner College,NY,Private not-for-profit,"2,786","2,277",81.73%,"$70,114","1,958",671,"1,287",34.27%,65.73%,34/66
Wake Forest University,NC,Private not-for-profit,"15,156","3,816",25.18%,"$82,988","8,947","3,974","4,973",44.42%,55.58%,44/56
Waldorf University,IA,Private for-profit,"1,097",793,72.29%,"$38,176","2,520","1,554",966,61.67%,38.33%,62/38
Walsh University,OH,Private not-for-profit,"1,858","1,485",79.92%,"$48,363","2,440",896,"1,544",36.72%,63.28%,37/63
Washington and Lee University,VA,Private not-for-profit,"6,621","1,248",18.85%,"$82,990","2,238","1,091","1,147",48.75%,51.25%,49/51
Washington State University,WA,Public,"18,197","15,607",85.77%,"$45,427","29,843","13,634","16,209",45.69%,54.31%,46/54
Washington University in St Louis,MO,Private not-for-profit,"33,634","4,373",13.00%,"$83,476","16,973","7,976","8,997",46.99%,53.01%,47/53
Wayland Baptist University,TX,Private not-for-profit,733,592,80.76%,"$36,278","3,508","1,602","1,906",45.67%,54.33%,46/54
Wayne State University,MI,Public,"15,181","9,603",63.26%,"$48,237","24,919","10,067","14,852",40.40%,59.60%,40/60
Webster University,MO,Private not-for-profit,"2,429","1,444",59.45%,"$52,502","6,779","2,870","3,909",42.34%,57.66%,42/58
Wellesley College,MA,Private not-for-profit,"7,663","1,240",16.18%,"$83,050","2,461",30,"2,431",1.22%,98.78%,1/99
Wentworth Institute of Technology,MA,Private not-for-profit,"5,441","4,872",89.54%,"$57,380","4,163","3,218",945,77.30%,22.70%,77/23
Wesleyan University,CT,Private not-for-profit,"13,067","2,540",19.44%,"$85,172","3,581","1,566","2,015",43.73%,56.27%,44/56
West Chester University of Pennsylvania,PA,Public,"14,020","12,528",89.36%,"$40,347","17,614","6,786","10,828",38.53%,61.47%,39/61
West Liberty University,WV,Public,"1,606","1,186",73.85%,"$32,889","2,291",859,"1,432",37.49%,62.51%,37/63
West Texas A & M University,TX,Public,"5,743","5,573",97.04%,"$26,910","9,602","3,926","5,676",40.89%,59.11%,41/59
West Virginia State University,WV,Public,"2,959","2,857",96.55%,"$31,000","3,415","1,432","1,983",41.93%,58.07%,42/58
West Virginia University,WV,Public,"17,074","15,336",89.82%,"$42,136","25,474","11,999","13,475",47.10%,52.90%,47/53
Westcliff University,CA,Private for-profit,892,581,65.13%,$0,"4,123","2,271","1,852",55.08%,44.92%,55/45
Western Carolina University,NC,Public,"12,308","9,775",79.42%,"$23,341","11,877","4,983","6,894",41.96%,58.04%,42/58
Western Colorado University,CO,Public,"3,243","2,947",90.87%,"$37,659","3,689","1,805","1,884",48.93%,51.07%,49/51
Western Connecticut State University,CT,Public,"4,688","3,978",84.85%,"$43,357","4,802","2,147","2,655",44.71%,55.29%,45/55
Western Illinois University,IL,Public,"7,156","5,187",72.48%,"$28,127","7,455","3,231","4,224",43.34%,56.66%,43/57
Western Kentucky University,KY,Public,"7,255","7,145",98.48%,"$41,336","16,750","6,250","10,500",37.31%,62.69%,37/63
Western Michigan University,MI,Public,"18,853","15,612",82.81%,"$33,057","18,266","8,678","9,588",47.51%,52.49%,48/52
Western New England University,MA,Private not-for-profit,"6,385","5,739",89.88%,"$62,230","3,635","1,900","1,735",52.27%,47.73%,52/48
Western Oregon University,OR,Public,"2,798","2,562",91.57%,"$45,138","4,029","1,302","2,727",32.32%,67.68%,32/68
Western Washington University,WA,Public,"10,580","10,167",96.10%,"$46,781","15,125","6,376","8,749",42.16%,57.84%,42/58
Westfield State University,MA,Public,"3,629","3,424",94.35%,"$34,486","5,013","2,129","2,884",42.47%,57.53%,42/58
Wheaton College,IL,Private not-for-profit,"1,993","1,719",86.25%,"$56,780","3,047","1,296","1,751",42.53%,57.47%,43/57
Wheaton College (Massachusetts),MA,Private not-for-profit,"3,724","3,056",82.06%,"$77,030","1,701",651,"1,050",38.27%,61.73%,38/62
Whitworth University,WA,Private not-for-profit,"3,944","3,607",91.46%,"$66,313","2,681","1,073","1,608",40.02%,59.98%,40/60
Wichita State University,KS,Public,"7,291","6,639",91.06%,"$35,486","15,394","6,733","8,661",43.74%,56.26%,44/56
Widener University,PA,Private not-for-profit,"5,719","4,834",84.53%,"$69,953","5,875","2,033","3,842",34.60%,65.40%,35/65
Wilkes University,PA,Private not-for-profit,"4,019","3,809",94.77%,"$61,755","5,276","1,701","3,575",32.24%,67.76%,32/68
Willamette University,OR,Private not-for-profit,"3,680","2,930",79.62%,"$62,112","1,785",791,994,44.31%,55.69%,44/56
William & Mary,VA,Public,"17,475","6,386",36.54%,"$64,344","9,517","3,990","5,527",41.92%,58.08%,42/58
William Carey University,MS,Private not-for-profit,470,270,57.45%,"$30,933","5,738","1,857","3,881",32.36%,67.64%,32/68
William Jessup University,CA,Private not-for-profit,666,518,77.78%,"$54,602","1,685",721,964,42.79%,57.21%,43/57
William Paterson University of New Jersey,NJ,Public,"9,171","7,636",83.26%,"$41,524","9,369","3,478","5,891",37.12%,62.88%,37/63
William Woods University,MO,Private not-for-profit,"1,426",974,68.30%,"$46,450","1,737",612,"1,125",35.23%,64.77%,35/65
Williams College,MA,Private not-for-profit,"12,452","1,099",8.83%,"$81,000","2,224","1,067","1,157",47.98%,52.02%,48/52
Wingate University,NC,Private not-for-profit,"17,662","14,929",84.53%,"$59,020","3,439","1,318","2,121",38.33%,61.67%,38/62
Winona State University,MN,Public,"5,335","4,103",76.91%,"$30,418","6,545","2,062","4,483",31.50%,68.50%,32/68
Winston-Salem State University,NC,Public,"5,419","4,415",81.47%,"$33,068","5,226","1,221","4,005",23.36%,76.64%,23/77
Winthrop University,SC,Public,"5,582","3,567",63.90%,"$45,492","5,174","1,505","3,669",29.09%,70.91%,29/71
Wofford College,SC,Private not-for-profit,"4,351","2,282",52.45%,"$70,193","1,765",853,912,48.33%,51.67%,48/52
Worcester Polytechnic Institute,MA,Private not-for-profit,"11,092","6,679",60.21%,"$76,040","7,230","4,533","2,697",62.70%,37.30%,63/37
Worcester State University,MA,Public,"3,446","3,078",89.32%,"$33,179","5,417","1,921","3,496",35.46%,64.54%,35/65
Wright State University-Main Campus,OH,Public,"6,338","6,087",96.04%,"$35,538","10,295","4,673","5,622",45.39%,54.61%,45/55
Xavier University,OH,Private not-for-profit,"15,199","12,770",84.02%,"$63,320","6,632","2,796","3,836",42.16%,57.84%,42/58
Xavier University of Louisiana,LA,Private not-for-profit,"6,575","6,273",95.41%,"$40,871","3,604",861,"2,743",23.89%,76.11%,24/76
Yale University,CT,Private not-for-profit,"47,240","2,509",5.31%,"$85,120","14,567","6,895","7,672",47.33%,52.67%,47/53
Yeshiva University,NY,Private not-for-profit,"1,410",884,62.70%,"$69,300","5,501","2,364","3,137",42.97%,57.03%,43/57
York College of Pennsylvania,PA,Private not-for-profit,"5,584","4,338",77.69%,"$38,900","3,852","1,611","2,241",41.82%,58.18%,42/58
Youngstown State University,OH,Public,"6,718","5,250",78.15%,"$25,404","11,298","4,793","6,505",42.42%,57.58%,42/58
